String,"Source (plugin or theme)","Čeština (cs_CZ)"
"Toret plugins', $this->plugin_slug ),
				__( 'Toret plugins', $this->plugin_slug ),
				'manage_options",woocommerce-ulozenka,"Toret plugins', $this->plugin_slug ),
				__( 'Toret plugins', $this->plugin_slug ),
				'manage_options"
"Uloženka', $this->plugin_slug ),
			__( 'Uloženka', $this->plugin_slug ),
			'manage_options',
			$this->plugin_slug,
			array( $this, 'display_plugin_admin_page' )
		);
        add_submenu_page(
            'toret-plugins',
            __( 'Uloženka log', $this->plugin_slug ),
            __( 'Uloženka log', $this->plugin_slug ),
            'manage_options",woocommerce-ulozenka,"Uloženka', $this->plugin_slug ),
			__( 'Uloženka', $this->plugin_slug ),
			'manage_options',
			$this->plugin_slug,
			array( $this, 'display_plugin_admin_page' )
		);
        add_submenu_page(
            'toret-plugins',
            __( 'Uloženka log', $this->plugin_slug ),
            __( 'Uloženka log', $this->plugin_slug ),
            'manage_options"
"Barcode', $this->plugin_slug );
            }
        }    
        $new_columns['ulozenka_send'] = __( 'Uloženka', $this->plugin_slug );
        return $new_columns;

  	}	

  	/**
  	 *
  	 *
  	 */
  	public function thumb_column_display($column_name, $post_id){
    	global $post;

        if ( $column_name == 'ulozenka' ) { 
            $field = get_post_meta( $post_id, 'ulozenka_consingment_id', true );
            if( !empty( $field ) ){
                echo '<a href=""https://tracking.ulozenka.cz/'.$field.'"" target=""_blank"">'.$field.'</a>';
            }
        }
    	
    	if ( $column_name == 'ulozenka_send' ) { 
        	$field = get_post_meta( $post_id, 'ulozenka_consingment_id', true );
        	if( empty( $field ) ){
        		echo '<a href=""'.admin_url().'edit.php?post_type=shop_order&ulozenka_id_objednavky='.$post_id.'"" class=""button"" style=""padding: 2px 4px 1px 5px;""><span class=""dashicons dashicons-external""></span></a>';
    		}else{
    			echo '<a href=""'.admin_url().'edit.php?post_type=shop_order&ulozenka_ticket_id='.$post_id.'"" class=""button"" style=""padding: 2px 4px 1px 5px;""><span class=""dashicons dashicons-arrow-down-alt""></span></a>';
    		}

    	}
  	}



  	/**
  	 * Send ticket or download packet
  	 *
  	 */
  	public function send_ticket(){

  		if( !empty( $_GET['ulozenka_id_objednavky'] ) ){

  			$order_id = sanitize_text_field( $_GET['ulozenka_id_objednavky'] );
  			$consingment = new Ulozenka_Send_Consigment( $order_id );
        	$consingment->create_consingment();

  		}
        elseif( !empty( $_GET['ulozenka_ticket_id'] ) ){

            $order_id = sanitize_text_field( $_GET['ulozenka_ticket_id'] );

            $ulozenka_consingment_id = get_post_meta( $order_id, 'ulozenka_consingment_id', true );

            if( empty( $ulozenka_consingment_id ) ){ return false; }
            
            try {
  
                    $subject_array = array(
                        'type' => 'pdf",woocommerce-ulozenka,"Barcode', $this->plugin_slug );
            }
        }    
        $new_columns['ulozenka_send'] = __( 'Uloženka', $this->plugin_slug );
        return $new_columns;

  	}	

  	/**
  	 *
  	 *
  	 */
  	public function thumb_column_display($column_name, $post_id){
    	global $post;

        if ( $column_name == 'ulozenka' ) { 
            $field = get_post_meta( $post_id, 'ulozenka_consingment_id', true );
            if( !empty( $field ) ){
                echo '<a href=""https://tracking.ulozenka.cz/'.$field.'"" target=""_blank"">'.$field.'</a>';
            }
        }
    	
    	if ( $column_name == 'ulozenka_send' ) { 
        	$field = get_post_meta( $post_id, 'ulozenka_consingment_id', true );
        	if( empty( $field ) ){
        		echo '<a href=""'.admin_url().'edit.php?post_type=shop_order&ulozenka_id_objednavky='.$post_id.'"" class=""button"" style=""padding: 2px 4px 1px 5px;""><span class=""dashicons dashicons-external""></span></a>';
    		}else{
    			echo '<a href=""'.admin_url().'edit.php?post_type=shop_order&ulozenka_ticket_id='.$post_id.'"" class=""button"" style=""padding: 2px 4px 1px 5px;""><span class=""dashicons dashicons-arrow-down-alt""></span></a>';
    		}

    	}
  	}



  	/**
  	 * Send ticket or download packet
  	 *
  	 */
  	public function send_ticket(){

  		if( !empty( $_GET['ulozenka_id_objednavky'] ) ){

  			$order_id = sanitize_text_field( $_GET['ulozenka_id_objednavky'] );
  			$consingment = new Ulozenka_Send_Consigment( $order_id );
        	$consingment->create_consingment();

  		}
        elseif( !empty( $_GET['ulozenka_ticket_id'] ) ){

            $order_id = sanitize_text_field( $_GET['ulozenka_ticket_id'] );

            $ulozenka_consingment_id = get_post_meta( $order_id, 'ulozenka_consingment_id', true );

            if( empty( $ulozenka_consingment_id ) ){ return false; }
            
            try {
  
                    $subject_array = array(
                        'type' => 'pdf"
"Stažení štítku - data chyby",woocommerce-ulozenka,"Stažení štítku - data chyby"
"Stažení štítku - znění chyby",woocommerce-ulozenka,"Stažení štítku - znění chyby"
"Uloženka Log",woocommerce-ulozenka,"Uloženka Log"
Id,woocommerce-ulozenka,Id
Aktivní,woocommerce-ulozenka,Aktivní
Offset,woocommerce-ulozenka,Offset
Dopravce,woocommerce-ulozenka,Dopravce
Služba,woocommerce-ulozenka,Služba
"Počet poboček",woocommerce-ulozenka,"Počet poboček"
"Načíst pobočky",woocommerce-ulozenka,"Načíst pobočky"
"Doprava zdarma",woocommerce-ulozenka,"Doprava zdarma"
"Cena dopravy zdarma",woocommerce-ulozenka,"Cena dopravy zdarma"
"Nemá pobočky",woocommerce-ulozenka,"Nemá pobočky"
"Načíst pobočky",woocommerce-ulozenka,"Načíst pobočky"
"Zobrazit záznamy logu pro tuto objednávku",woocommerce-ulozenka,"Zobrazit záznamy logu pro tuto objednávku"
"Every 12 hours' ),
    );
    return $schedules;
}
add_filter( 'cron_schedules",woocommerce-ulozenka,"Every 12 hours' ),
    );
    return $schedules;
}
add_filter( 'cron_schedules"
"Vaše licence byla aktivována.",woocommerce-ulozenka,"Vaše licence byla aktivována."
"Neplatný licenční klíč.<br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>.",woocommerce-ulozenka,"Neplatný licenční klíč.<br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>."
"Zadaný licenční klíč neodpovídá URL webu. <br />Prosím, zkontrolujte si licenční klíč v sekci <a href=""https://toret.cz/muj-ucet/"">Můj účet</a>. V případě dalších problémů kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>.",woocommerce-ulozenka,"Zadaný licenční klíč neodpovídá URL webu. <br />Prosím, zkontrolujte si licenční klíč v sekci <a href=""https://toret.cz/muj-ucet/"">Můj účet</a>. V případě dalších problémů kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>."
"Nemáte zadaný licenční klíč. <br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>.",woocommerce-ulozenka,"Nemáte zadaný licenční klíč. <br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>."
"Neplatný licenční klíč.<br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>.",woocommerce-ulozenka,"Neplatný licenční klíč.<br />Prosím, kontaktujte podporu na webu <a href=""https://www.toret.cz"">Toret.cz</a>."
"Dokumentace a demo eshop pro vyzkoušení pluginu",woocommerce-ulozenka,"Dokumentace a demo eshop pro vyzkoušení pluginu"
"Hlavní nastavení",woocommerce-ulozenka,"Hlavní nastavení"
Dopravci,woocommerce-ulozenka,Dopravci
Česko,woocommerce-ulozenka,Česko
Slovensko,woocommerce-ulozenka,Slovensko
Evropa,woocommerce-ulozenka,Evropa
"Pobočky služeb",woocommerce-ulozenka,"Pobočky služeb"
"Ceník Uloženka",woocommerce-ulozenka,"Ceník Uloženka"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Cena za zásilku do 2 kg",woocommerce-ulozenka,"Cena za zásilku do 2 kg"
"Cena za zásilku do 10 kg",woocommerce-ulozenka,"Cena za zásilku do 10 kg"
"Cena za zásilku do 20 kg",woocommerce-ulozenka,"Cena za zásilku do 20 kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník Uloženka Doprava na adresu",woocommerce-ulozenka,"Ceník Uloženka Doprava na adresu"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
"Cena za zásilku do 2 kg",woocommerce-ulozenka,"Cena za zásilku do 2 kg"
"Cena za zásilku do 10 kg",woocommerce-ulozenka,"Cena za zásilku do 10 kg"
"Cena za zásilku do 30 kg",woocommerce-ulozenka,"Cena za zásilku do 30 kg"
"Příplatek za dobírku",woocommerce-ulozenka,"Příplatek za dobírku"
"Ceník Uloženka Partner",woocommerce-ulozenka,"Ceník Uloženka Partner"
Položka,woocommerce-ulozenka,Položka
Cena,woocommerce-ulozenka,Cena
