String,"Source (plugin or theme)","Čeština (cs_CZ)"
"Contact Form 7",wp-contact-form-7,"Contact Form 7"
Contact,wp-contact-form-7,Contact
"Edit Contact Form",wp-contact-form-7,"Edit Contact Form"
"Contact Forms",wp-contact-form-7,"Contact Forms"
"Add New Contact Form",wp-contact-form-7,"Add New Contact Form"
"Add New",wp-contact-form-7,"Add New"
"Integration with Other Services",wp-contact-form-7,"Integration with Other Services"
Integration,wp-contact-form-7,Integration
"The changes you made will be lost if you navigate away from this page.",wp-contact-form-7,"The changes you made will be lost if you navigate away from this page."
"How to resolve?",wp-contact-form-7,"How to resolve?"
"1 configuration error detected",wp-contact-form-7,"1 configuration error detected"
"%d configuration errors detected",wp-contact-form-7,"%d configuration errors detected"
"1 configuration error detected in this tab panel",wp-contact-form-7,"1 configuration error detected in this tab panel"
"%d configuration errors detected in this tab panel",wp-contact-form-7,"%d configuration errors detected in this tab panel"
"(configuration error)",wp-contact-form-7,"(configuration error)"
"You are not allowed to edit this item.",wp-contact-form-7,"You are not allowed to edit this item."
"You are not allowed to edit this item.",wp-contact-form-7,"You are not allowed to edit this item."
"You are not allowed to delete this item.",wp-contact-form-7,"You are not allowed to delete this item."
"Error in deleting.",wp-contact-form-7,"Error in deleting."
"Contact Forms",wp-contact-form-7,"Contact Forms"
"Add New",wp-contact-form-7,"Add New"
"Search results for &#8220;%s&#8221;",wp-contact-form-7,"Search results for &#8220;%s&#8221;"
"Search Contact Forms",wp-contact-form-7,"Search Contact Forms"
"Integration with Other Services",wp-contact-form-7,"Integration with Other Services"
"Contact form created.",wp-contact-form-7,"Contact form created."
"Contact form saved.",wp-contact-form-7,"Contact form saved."
"Contact form deleted.",wp-contact-form-7,"Contact form deleted."
"There was an error saving the contact form.",wp-contact-form-7,"There was an error saving the contact form."
"Configuration validation completed. No invalid contact form was found.",wp-contact-form-7,"Configuration validation completed. No invalid contact form was found."
Settings,wp-contact-form-7,Settings
"<strong>Contact Form 7 %1$s requires WordPress %2$s or higher.</strong> Please <a href=""%3$s"">update WordPress</a> first.",wp-contact-form-7,"<strong>Contact Form 7 %1$s requires WordPress %2$s or higher.</strong> Please <a href=""%3$s"">update WordPress</a> first."
"You are not allowed to edit this contact form.",wp-contact-form-7,"You are not allowed to edit this contact form."
Save,wp-contact-form-7,Save
"Add New Contact Form",wp-contact-form-7,"Add New Contact Form"
"Edit Contact Form",wp-contact-form-7,"Edit Contact Form"
"Add New",wp-contact-form-7,"Add New"
"Enter title here",wp-contact-form-7,"Enter title here"
"Copy this shortcode and paste it into your post, page, or text widget content:",wp-contact-form-7,"Copy this shortcode and paste it into your post, page, or text widget content:"
"You can also use this old-style shortcode:",wp-contact-form-7,"You can also use this old-style shortcode:"
Status,wp-contact-form-7,Status
Save,wp-contact-form-7,Save
Duplicate,wp-contact-form-7,Duplicate
Delete,wp-contact-form-7,Delete
"You are about to delete this contact form.\n  'Cancel' to stop, 'OK' to delete.",wp-contact-form-7,"You are about to delete this contact form.\n  'Cancel' to stop, 'OK' to delete."
"Do you need help?",wp-contact-form-7,"Do you need help?"
"Here are some available options to help solve your problems.",wp-contact-form-7,"Here are some available options to help solve your problems."
"%1$s and %2$s",wp-contact-form-7,"%1$s and %2$s"
https://contactform7.com/faq/,wp-contact-form-7,https://contactform7.com/faq/
FAQ,wp-contact-form-7,FAQ
https://contactform7.com/docs/,wp-contact-form-7,https://contactform7.com/docs/
docs,wp-contact-form-7,docs
https://wordpress.org/support/plugin/contact-form-7/,wp-contact-form-7,https://wordpress.org/support/plugin/contact-form-7/
"Support forums",wp-contact-form-7,"Support forums"
https://contactform7.com/custom-development/,wp-contact-form-7,https://contactform7.com/custom-development/
"Professional services",wp-contact-form-7,"Professional services"
